Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.9231,0.2917,0.0,0.0,0.0,0.0,2.48
xgboost,0.9231,0.5,0.0,0.0,0.0,0.0,11.21
