Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.5385,0.5417,0.0,0.0,0.0,0.0,0.27
xgboost,0.7692,0.9167,0.4,0.25,1.0,0.866,2.53
lr,0.7692,1.0,0.4,0.25,1.0,0.866,4.21
mlp,0.4615,0.7083,0.2222,0.125,1.0,0.6455,2.69
svm,0.9231,0.5,0.0,0.0,0.0,0.0,0.22
